formulator,original_sentence,cluster_label
taylorandfrancis,"Editors’ and peer reviewers’ use of manuscripts in Generative AI systems may pose a risk to confidentiality, proprietary rights and data, including personally identifiable information.",5
taylorandfrancis,"Therefore, editors and peer reviewers must not upload files, images or information from unpublished manuscripts into Generative AI tools.",1
taylorandfrancis,Failure to comply with this policy may infringe upon the rightsholder’s intellectual property.,5
taylorandfrancis,Editors Editors are the shepherds of quality and responsible research content.,3
taylorandfrancis,"Therefore, editors must keep submission and peer review details confidential.",7
taylorandfrancis,"Use of manuscripts in Generative AI systems may give rise to risks around confidentiality, infringement of proprietary rights and data, and other risks.",5
taylorandfrancis,"Therefore, editors must not upload unpublished manuscripts, including any associated files, images or information into Generative AI tools.",1
taylorandfrancis,"Editors should check with their Taylor & Francis contact prior to using any Generative AI tools, unless they have already been informed that the tool and proposed use of the tool is authorised.",7
taylorandfrancis,Journal Editors should refer to our Editor Resource page for more information on our code of conduct.,9
taylorandfrancis,Peer reviewers Peer reviewers are chosen experts in their fields and should not be using Generative AI for analysis or to summarise submitted articles or portions thereof in the creation of their reviews.,1
taylorandfrancis,"As such, peer reviewers must not upload unpublished manuscripts or project proposals, including any associated files, images or information, into Generative AI tools.",1
taylorandfrancis,"Generative AI may only be utilised to assist with improving review language, but peer reviewers will at all times remain responsible for ensuring the accuracy and integrity of their reviews.",3
wiley,Artificial Intelligence General Guidance & Best Practice Authors may wish to use artificial intelligence tools or technologies (“AI Technology”) when preparing a manuscript for submission to a Wiley journal.,1
wiley,Wiley welcomes the thoughtful use of AI tools.,0
wiley,"When used responsibly, authors can maintain high editorial standards, safeguard intellectual property and other rights, and foster transparency with readers.",3
wiley,"While authors remain fully accountable for their submission, published articles, and any tools or sources they use in its creation, Wiley recognizes AI Technology’s growing role in the research process and manuscript preparation and provides the following guidance.",7
wiley,"Review Terms and Conditions Authors should carefully review the terms and conditions, terms of use, or any other conditions or licenses associated with their chosen AI Technology.",6
wiley,"Authors must confirm that the AI Technology does not claim ownership of their content or impose limitations on its use, as this could interfere with the author’s rights or Wiley's rights, including Wiley’s ability to publish a submission following acceptance.",7
wiley,Authors should periodically revisit the AI Technology terms to ensure continued compliance.,0
wiley,"Human Oversight Authors may only use AI Technology as a companion to their writing process, not a replacement.",1
wiley,"As always, authors must take full responsibility for the accuracy of all content, and verify that all claims, citations, and analyses align with their expertise and research.",6
wiley,"Before including AI-generated content in a journal submission, authors must carefully review it to ensure the final work reflects their expertise, voice, and originality while adhering to Wiley's ethical and editorial standards.",7
wiley,"Disclosure Authors should maintain documentation of all AI Technology used, including its purpose, whether it impacted key arguments or conclusions, and how they personally reviewed and verified AI-generated content.",2
wiley,Authors must also disclose use of AI Technologies upon submission to a Wiley journal.,1
wiley,"If not provided, this may be requested during the submission and peer review process, or after publication.",7
wiley,Transparency is essential to Wiley's commitment to ethical publishing and integrity.,3
wiley,"(Please see the additional, specific guidance regarding authorship and disclosure below.) Rights Protection Authors must not use any AI Technology that restricts their own, Wiley’s, or any other party’s use of the submission.",7
wiley,"This includes ensuring that the AI Technology used and the provider of that AI Technology does not gain any rights over the author’s underlying content, including the right to “train” their AI Technology on the content, besides the limited right to access and use the submission to perform the service.",5
wiley,"By reviewing an AI Technology’s terms and conditions for clauses such as “ownership,” “data reuse,” or “opt out” among others, authors can prevent unintended rights transfers.",5
wiley,"Responsible and Ethical Use Authors must use AI Technology in a manner that aligns with privacy, confidentiality, and compliance obligations.",5
wiley,"This includes respecting data protection laws, avoiding the use of AI to replicate unique styles or voices of others, and fact-checking AI-generated content for accuracy and neutrality.",5
wiley,Authors should be aware of potential biases in AI outputs and take steps to mitigate stereotypes or misinformation.,0
wiley,"When inputting sensitive or unpublished content, authors should use tools with appropriate privacy controls to protect confidentiality.",1
wiley,Adherence to Agreements Authors must adhere to the terms and conditions of their publishing agreement with Wiley.,6
wiley,"Authors remain responsible for upholding the warranties in those agreements, such as ensuring their submission is original, not previously published, and that they have the right to grant the necessary permissions to Wiley as set forth in their agreement.",7
wiley,Wiley values authors' unique creativity and expertise and views AI Technologies as tools that enhance rather than replace creativity.,1
wiley,"Wiley remains committed to providing clear guidance that fosters trust with readers, protects authors' and Wiley’s rights, and ensures high-quality content.",3
wiley,These guidelines will evolve as technology and author needs advance.,0
wiley,"For reference, please also see the STM general guidance for all stakeholders in scholarly publishing regarding the role of generative AI technologies.",0
wiley,"Specific Guidance Disclosure: If an author has used AI Technology to develop any portion of a manuscript, its use must be described, transparently and in detail, in the Methods section (or via a disclosure or within the Acknowledgements section, as applicable).",9
wiley,The author is fully responsible for the accuracy of any information provided by the tool and for correctly referencing any supporting work on which that information depends.,6
wiley,"GenAI tools must not be used to create, alter, or manipulate original research data and results.",1
wiley,"Tools that are used to improve spelling, grammar, and general editing are not included in the scope of these disclosure guidelines.",2
wiley,The final decision about whether use of a GenAI tool is appropriate or permissible in the circumstances of a submitted manuscript or a published article lies with the journal’s editor or other party responsible for the publication’s editorial policy.,7
wiley,AI & Authorship: AI Technology cannot be considered capable of initiating an original piece of research without direction by humans.,1
wiley,"Tools cannot be accountable for a published work or for research design, which is a generally held requirement of authorship (as discussed in the Authorship section in these guidelines), nor does it have legal standing or the ability to hold or assign copyright.",5
wiley,"Therefore—in accordance with COPE’s position statement on Authorship and AI tools—these tools cannot fulfil the role of, nor be listed as, an author of an article.",5
wiley,Peer Review: AI Technology should be used only on a limited basis in connection with peer review.,1
wiley,A GenAI tool can be used by an editor or peer reviewer to improve the quality of the written feedback in a peer review report.,1
wiley,This use must be transparently declared upon submission of the peer review report to the manuscript’s handling editor.,7
wiley,"Independent of this limited use case, editors or peer reviewers should not upload manuscripts (or any parts of manuscripts including figures and tables) into AI Technology.",1
wiley,"AI Technology may use input data for training or other purposes, which could violate the confidentiality of the peer review process, privacy of authors and reviewers, and the copyright of the manuscript under review.",5
wiley,"Moreover, the peer review process is a human endeavor and responsibility and accountability for submitting a peer review report, in line with a journal’s editorial polices and peer review model, sits with those individuals who have accepted an invitation from a journal to undertake the peer review of a submitted manuscript.",3
wiley,This process should not be delegated to a GenAI tool.,4
Agricultural Economics,"Use of Artificial Intelligence (AI) / Large Language Models (LLM) Authors who use assistance by artificial intelligence, such as large language models (e.g. ChatGPT), in the preparation of their manuscripts must follow Wiley’s best practice guidelines.",2
Agricultural Economics,"In addition, authors may only use AI technology as a companion to their writing process, not a replacement.",1
Agricultural Economics,"AI should be used for ""AI assisted copy editing"" only.",1
Agricultural Economics,"In this context, we define the term ""AI assisted copy editing"" as AI-assisted improvements to human-generated texts for readability and style, and to ensure that the texts are free of errors in grammar, spelling, punctuation and tone.",2
Agricultural Economics,"These AI-assisted improvements may include wording and formatting changes to the texts, but do not include generative editorial work and autonomous content creation (including analyses).",2
Agricultural Economics,"As always, authors must take full responsibility for the accuracy of all content, and verify that all claims, citations, and analyses align with their expertise and research.",6
Agricultural Economics,There must be human accountability for the final version of the text and agreement from the authors that the edits reflect their original work.,7
Agricultural Economics,"Before including AI-generated content in a journal submission, authors must carefully review it to ensure the final work reflects their expertise, voice, and originality while adhering to Wiley's ethical and editorial standards.",7
Agricultural Economics,"Authors should maintain documentation of all AI technology used, including its purpose, whether it impacted key arguments or conclusions, and how they personally reviewed and verified AI-generated content.",2
Agricultural Economics,"Authors must also disclose use of AI Technologies upon submission, and this should be documented at the beginning of the manuscript, after the abstract and before the introduction.",9
Agricultural Economics,Please note that the editors of Agricultural Economics use AI detection software when screening manuscripts.,1
Agricultural Economics,"If the software yields a positive result on machine-generated content and the manuscript lacks a clear disclosure, the paper will likely be desk rejected.",1
AJET,GenAI Use Policy AJET Policy for Use of Artificial Intelligence in Publishing and Reviewing The AJET editorial team acknowledge the increase in availability and use of Generative Artificial Intelligence (GenAI) in academic research and set out the following rules in relation to how authors and editorial members should work with GenAI.,2
AJET,Generative AI cannot be listed as an author on AJET publications.,4
AJET,"An author must be able to agree to and be accountable for the aspects of their authorship under the CRediT taxonomy, which an AI cannot do.",5
AJET,Authors need to acknowledge the contribution made by Generative AI tools to any aspects of the research published.,1
AJET,"In the acknowledgement section the authors should outline the specific tasks AI was used to complete, including (but not limited to) research design, data analyses, data visualisation, text creation/editing, etc.).",2
AJET,AJET Reviewers do not have permission to use Generative AI to complete any reviews of AJET articles.,1
AJET,Sharing articles under review with third party AI providers for this purpose may contravene authors’ intellectual property rights to their work.,5
Bmj Quality & Safety,"BMJ considers artificial intelligence (AI) to include large language models such as Chat GPT, and any other technologies which use machine learning, deep learning, logical reasoning, knowledge representation, planning or navigation, natural-language processing, perception, emergent intelligence, or any other similar or equivalent technologies from time to time.",2
Bmj Quality & Safety,This may include technologies that make automated decisions.,0
Bmj Quality & Safety,We recognise the potential for both benefit and harm to academic literature from the use of AI technologies.,0
Bmj Quality & Safety,The policy BMJ will consider content where AI technologies are used.,0
Bmj Quality & Safety,Our approach is one of transparency.,4
Bmj Quality & Safety,Where AI technology has been used this should be clearly described.,0
Bmj Quality & Safety,Editors will consider the suitability of the use outlined.,0
Bmj Quality & Safety,Our approach is in line with organisations including the World Association of Medical Editors (WAME) and the Committee on Publication Ethics (COPE).,3
Bmj Quality & Safety,This policy applies to all authors and contributors submitting content for publication in a BMJ title.,6
Bmj Quality & Safety,"It applies to all types of content, including original research, debate, opinion, journalism.",1
Bmj Quality & Safety,"It applies to all formats, including, without limitation, all text, audio, video and audio-visual material, abstracts, databases, tables, data, diagrams, photographs and other images or illustrative materials.",2
Bmj Quality & Safety,The same principles apply to the use of AI in peer review comments submitted to journals and any other advice or material sent to us.,1
Bmj Quality & Safety,"Transparent reporting of AI technologies in content submitted to BMJ journals We expect authors or others who are creating content to disclose and describe use of AI technologies in (a) any content which is submitted to us, (b) any other work by the authors which underpins or is otherwise connected with the content submitted to us, and (c) any key sources which are cited, to the best of the authors’ knowledge.",7
Bmj Quality & Safety,"To ensure transparent declaration of AI, authors should: 1.",7
Bmj Quality & Safety,Include an acknowledgement of AI use in the ‘contributor’ section of written material.,9
Bmj Quality & Safety,"If the AI use was in the course of research, a fuller description should be included in the methods section.",9
Bmj Quality & Safety,"Transparent declaration includes a description of: What AI technology was used (the name of the technology) Why this AI technology was used (the reason for its use) How the AI technology was used (what the task of the technology was) Consider including a summary of the input, output, and the way in which the AI output was reviewed on the part of the authors as supplementary files or additional information for the editor to review.",2
Bmj Quality & Safety,The editor may ask for more information and/or for information to be added to the content for internal use and/or for publication.,6
Bmj Quality & Safety,Decision making BMJ will consider whether the way in which AI was used and declared is reasonable and consistent with its publication policies and practice.,0
Bmj Quality & Safety,Content may be rejected or be subject to post-publication changes on the basis of inadequate declaration or on the particular circumstances of its use.,7
Bmj Quality & Safety,Authorship AI technologies will not be accepted as an author(s) of any content submitted to BMJ for publication.,6
Bmj Quality & Safety,BMJ only recognises humans as being capable of authorship since they must be accountable for the work.,5
Bmj Quality & Safety,Responsibility for content produced or influenced by AI technology Authors and contributors are responsible for content produced by AI technology in their work.,6
Bmj Quality & Safety,"This includes responsibility for accuracy, suitable attribution of sources, and absence of plagiarism.",6
Bmj Quality & Safety,"Detection and screening We may, on a systematic or case by case basis, use screening tools pre-publication to assist with the identification of content generated (in whole or in part) through AI technologies.",2
Bmj Quality & Safety,We may also use such tools post-publication.,0
Bmj Quality & Safety,"Peer review If reviewers use AI technology to improve word processing and language, they should declare this when submitting their reports.",1
Bmj Quality & Safety,"However, reviewers should preserve the confidentiality of the peer review process by not putting unpublished manuscripts that they are reviewing for BMJ Journals (or information about them) into publicly available AI tools where ; the security of the confidential information cannot be guaranteed.",5
Bmj Quality & Safety,Development in the field of AI is continuous.,0
Bmj Quality & Safety,"We will review this policy as necessary, or every six months until further notice.",0
Bmj Quality & Safety,Any proposed significant variation will be discussed with relevant stakeholders according to the degree of change proposed and those likely to be affected.,0
Educational Technology & Society,Declaration on Generative Artificial Intelligence Artificial Intelligence (AI) and AI-assisted technologies should not be listed as an author or co-author as authorship implies responsibilities and tasks that can only be attributed to and performed by humans.,5
Educational Technology & Society,"Authors should only use AI and AI-assisted technologies to improve readability and language, and the listing of references of the manuscript.",1
Educational Technology & Society,"Human oversight and control is required for the usage of the technology, authors should carefully review and edit the result as the journal will conduct an AI similarity index check.",1
Educational Technology & Society,Authors are allowed to use AI as a research tool where the use of AI or AI-assisted tools is part of the research design or research methods.,1
Educational Technology & Society,"As such, the usage of AI or AI-assisted tools must be described in a reproducible manner in the methods section of the manuscript.",9
Educational Technology & Society,AI disclosure statements are encouraged to be provided if the technology is used.,9
Journal of Labor Economics,"Disclosure of LLM Use For manuscripts submitted after October 1, 2024, use of LLMs in your research process should be acknowledged as follows: When large language models (LLMs) such as ChatGPT are used to write and substantially rewrite manuscripts, this should be reported in the acknowledgment footnote.",9
Journal of Labor Economics,Details of how and where AI was used in this way should be provided in the article’s online appendix.,9
Journal of Labor Economics,"Disclosure is not required for LLM uses that that do not generate or substantially affect content, such as to improve grammar, correct typos, or provide suggestions for alternative words or phrases.",2
Journal of Labor Economics,"Disclosure is also unnecessary when using LLMs to generate pieces of computer code, unless their use played a major role in expanding what was feasible in the paper.",1
Journal of Labor Economics,Other substantial uses of LLMs (for example to generate hypotheses or create data that are analyzed in a paper) should be cited in the text of the paper and explained in the online Appendix.,9
Journal of Labor Economics,"Authors should use the citation format in the following example: “We asked OpenAI to categorize every word in this list as male, female, or neutral (ChatGPT2024a)”.",9
Journal of Labor Economics,The corresponding entry in the references would read: OpenAI (2023a).,4
Journal of Labor Economics,"ChatGPT (GPT-4, May 12 Version) [Large language model].",8
Journal of Labor Economics,Response to query made on Month/Day/Year.,4
Journal of Labor Economics,"https://chat.openai.com/chat In situations like these, the exact prompt given to the LLM should be provided in the text of the paper.",9
Journal of Labor Economics,"If the number of prompts is large, authors should report them in the online appendix, including the details of any processes used to generate the prompts.",9
Journal of Labor Economics,"For additional discussion of ethical disclosure of AI use in scholarly manuscripts, please see: Hosseini, Mohammad, David B.",1
Journal of Labor Economics,"Resnick, and Kristi Holmes.",4
Journal of Labor Economics,2023 “The ethics of disclosing the use of artificial intelligence tools in writing scholarly manuscripts” Research Ethics 19(4): 449-465.,1
Journal of Labor Economics,"JOLE’s guidelines, described above, draw heavily on but are not identical to Hosseini et al.’s recommended best practices.",2
